样本id,A5,A6,A7,A8,A9,A10,A11,A12,A14,A15,A16,A17,A19,A20,A21,A22,A24,A25,A26,A27,A28,B1,B4,B5,B6,B7,B8,B9,B10,B11,B12,B14
sample_1667,22.0,29.0,-1.0,-1.0,0.0,102,1.0,103.0,2.0,104.0,3.0,105.0,200,1.0,50.0,9.0,4.0,79.0,5.0,73.0,1.0,320.0,1.0,7.0,80,9.0,45.0,1.5,1.5,1.0,1200.0,420
sample_1516,0.0,21.0,-1.0,-1.0,1.0,100,2.0,102.0,3.0,103.0,4.0,104.0,300,0.5,50.0,9.0,10.0,70.0,10.5,75.0,0.5,350.0,1.0,15.5,60,23.0,45.0,1.0,1.0,-1.0,800.0,400
sample_437,16.0,22.0,-1.0,-1.0,17.0,100,18.0,102.0,19.0,104.0,20.0,103.0,100,0.5,50.0,9.0,21.0,80.0,21.5,78.0,1.0,280.0,1.0,23.5,65,1.5,45.0,1.5,1.5,-1.0,800.0,400
sample_203,6.0,29.0,-1.0,-1.0,8.0,101,9.0,103.0,10.0,104.0,11.0,105.0,200,1.0,50.0,9.0,12.0,78.0,13.0,73.0,1.0,320.0,1.0,15.0,80,17.0,45.0,1.5,1.5,1.0,1200.0,400
sample_1389,6.0,29.0,-1.0,-1.0,8.0,102,9.0,103.0,10.0,104.0,11.0,105.0,200,1.0,50.0,9.0,12.0,80.0,13.0,45.0,1.0,320.0,1.0,15.0,80,17.0,45.0,4.0,-1.0,-1.0,1200.0,440
sample_761,17.5,29.0,-1.0,-1.0,19.5,102,20.5,103.0,21.5,104.0,22.5,105.0,200,-1.0,50.0,9.0,23.0,80.0,0.0,73.0,1.0,320.0,1.0,2.0,80,4.0,45.0,3.0,-1.0,-1.0,1200.0,460
sample_1373,6.0,30.0,-1.0,-1.0,8.0,102,9.0,104.0,10.0,105.0,11.0,106.0,200,1.0,50.0,9.0,12.0,80.0,13.0,73.0,1.0,320.0,1.0,15.0,80,17.0,45.0,4.0,-1.0,-1.0,1200.0,440
sample_558,1.0,29.0,-1.0,-1.0,3.0,101,4.0,103.0,5.0,104.0,6.0,105.0,200,1.0,50.0,9.0,7.0,80.0,8.0,73.0,1.0,320.0,1.0,10.0,80,12.0,45.0,1.5,1.5,1.0,1200.0,420
sample_1710,16.0,21.0,-1.0,-1.0,17.5,100,18.5,103.0,19.5,105.0,20.5,108.0,200,1.0,50.0,10.0,22.0,70.0,22.5,75.0,1.0,380.0,1.0,0.5,75,3.0,45.0,1.5,1.5,-1.0,800.0,400
sample_153,6.0,27.0,-1.0,-1.0,8.0,102,9.0,103.0,10.0,105.0,11.0,104.0,200,1.0,50.0,9.0,12.0,78.0,13.0,76.0,1.0,320.0,1.0,15.0,75,17.0,45.0,2.5,2.0,1.0,1200.0,400
sample_934,15.5,38.0,15.666666666666666,80.0,17.0,100,18.0,104.0,19.0,102.0,20.0,104.0,300,0.5,50.0,10.0,0.5,70.0,1.0,75.0,0.5,370.0,2.0,13.5,50,17.0,35.0,1.5,1.5,-1.0,800.0,420
sample_54,23.0,18.0,-1.0,-1.0,0.0,100,1.0,105.0,2.0,105.0,3.0,107.0,700,0.5,50.0,9.0,4.0,70.0,4.833333333333333,77.0,1.3333333333333333,350.0,1.0,7.0,68,8.5,45.0,1.5,1.5,-1.0,800.0,400
sample_1227,6.0,29.0,-1.0,-1.0,8.0,102,9.0,103.0,10.0,105.0,11.0,107.0,200,1.0,50.0,9.0,12.0,79.0,13.0,73.0,1.0,320.0,1.0,15.0,80,17.0,45.0,1.5,1.5,1.0,1200.0,400
sample_53,18.0,18.0,-1.0,-1.0,19.0,100,20.0,104.0,21.0,106.0,22.0,106.0,300,0.5,50.0,9.0,23.0,70.0,0.0,77.0,1.0,350.0,1.0,2.0,68,3.5,45.0,1.5,1.5,-1.0,400.0,400
sample_1110,18.0,29.0,-1.0,-1.0,20.0,101,21.0,103.0,22.0,104.0,23.0,105.0,200,1.0,50.0,9.0,0.0,78.0,1.0,73.0,1.0,320.0,1.0,3.0,80,5.0,45.0,1.5,1.5,1.5,1200.0,400
sample_49,22.0,20.0,-1.0,-1.0,23.0,100,0.0,106.0,1.0,106.0,2.0,107.0,300,0.5,50.0,9.0,3.1666666666666665,70.0,3.6666666666666665,77.0,1.3333333333333333,350.0,1.0,6.0,67,7.5,45.0,1.5,1.5,-1.0,800.0,400
sample_474,12.0,32.0,-1.0,-1.0,13.5,100,14.5,102.0,15.5,103.0,16.5,104.0,200,1.0,30.0,9.0,17.5,70.0,18.0,78.0,1.0,300.0,1.0,4.5,60,6.0,40.0,1.5,1.5,-1.0,800.0,400
sample_1716,5.0,18.0,-1.0,-1.0,6.5,101,7.5,102.0,8.5,105.0,9.5,108.0,200,1.0,50.0,9.0,11.0,70.0,11.5,78.0,1.0,380.0,1.0,13.5,76,15.5,45.0,1.5,1.5,-1.0,800.0,400
sample_1169,14.0,29.0,-1.0,-1.0,16.0,100,17.0,102.0,18.0,104.0,19.0,107.0,200,1.0,50.0,9.0,20.0,78.0,21.0,72.0,1.0,320.0,1.0,7.0,80,9.0,45.0,1.5,1.5,1.0,1200.0,420
sample_1925,6.0,30.0,-1.0,-1.0,8.0,103,9.0,104.0,10.0,105.0,11.0,106.0,200,1.0,50.0,9.0,12.0,80.0,13.0,73.0,1.0,320.0,1.0,15.0,80,17.0,45.0,4.0,-1.0,-1.0,1200.0,440
sample_667,22.0,30.0,-1.0,-1.0,0.0,100,1.0,102.0,2.0,105.0,3.0,107.0,200,1.0,50.0,9.0,4.0,80.0,5.0,74.0,1.0,320.0,1.0,7.0,80,9.0,45.0,1.5,1.5,1.0,1200.0,400
sample_176,14.0,29.0,-1.0,-1.0,16.0,102,17.0,103.0,18.0,104.0,19.0,105.0,200,1.0,50.0,9.0,20.0,78.0,21.0,72.0,1.0,1200.0,1.0,23.0,80,1.0,45.0,1.5,1.5,1.0,1200.0,400
sample_1908,6.0,29.0,-1.0,-1.0,8.0,102,9.0,103.0,10.0,104.0,11.0,105.0,200,1.0,50.0,9.0,12.0,80.0,13.0,73.0,1.0,320.0,1.0,15.0,80,17.0,45.0,1.5,1.5,1.0,1200.0,400
sample_160,6.0,29.0,-1.0,-1.0,8.0,100,9.0,102.0,10.0,104.0,11.0,105.0,200,1.0,50.0,9.0,12.0,79.0,13.0,75.0,1.0,1200.0,1.0,15.0,77,17.0,45.0,1.5,1.5,1.0,1200.0,400
sample_35,22.0,21.0,-1.0,-1.0,23.0,100,0.0,102.0,1.0,103.0,2.0,104.0,300,0.5,40.0,9.0,5.5,70.0,6.0,78.0,1.0,310.0,1.5,17.0,65,22.0,40.0,1.5,1.5,-1.0,800.0,440
sample_1403,21.0,29.0,-1.0,-1.0,23.0,102,0.0,103.0,1.0,104.0,2.0,105.0,200,1.0,50.0,9.0,3.0,80.0,4.0,73.0,1.0,320.0,1.0,6.0,80,8.0,45.0,1.5,1.5,1.0,1200.0,440
sample_1806,14.0,29.0,-1.0,-1.0,16.0,101,17.0,103.0,18.0,104.0,19.0,105.0,200,1.0,50.0,9.0,20.0,79.0,21.0,74.0,1.0,320.0,1.0,23.0,80,1.0,45.0,1.5,1.5,1.0,1200.0,420
sample_241,6.0,30.0,-1.0,-1.0,8.0,102,9.0,103.0,10.0,104.0,11.0,105.0,200,1.0,50.0,9.0,12.0,80.0,13.0,73.0,1.0,320.0,1.0,15.0,80,17.0,45.0,4.0,-1.0,-1.0,1200.0,440
sample_1059,16.5,21.0,-1.0,-1.0,18.0,100,19.0,102.0,20.0,104.0,21.0,105.0,300,0.5,50.0,9.0,22.5,70.0,23.0,78.0,1.0,350.0,1.5,8.0,65,12.0,50.0,1.5,1.5,-1.0,800.0,420
sample_746,22.0,29.0,-1.0,-1.0,0.0,100,1.0,102.0,2.0,103.0,3.0,103.0,200,1.0,50.0,9.0,4.0,80.0,5.0,73.0,1.0,320.0,1.0,7.0,80,9.0,45.0,3.0,-1.0,-1.0,1200.0,440
sample_513,22.5,21.0,-1.0,-1.0,0.0,100,1.0,102.0,2.0,104.0,3.0,105.0,300,0.5,50.0,9.0,6.5,70.0,7.0,78.0,1.0,320.0,1.0,17.5,65,22.0,45.0,1.5,1.5,-1.0,800.0,420
sample_1088,15.5,26.0,-1.0,-1.0,16.0,100,17.0,102.0,18.0,104.0,19.0,104.0,300,0.5,50.0,9.0,0.0,70.0,0.5,78.0,1.0,340.0,1.0,9.0,65,13.0,45.0,1.5,1.5,-1.0,800.0,420
sample_1370,6.0,28.0,-1.0,-1.0,8.0,102,9.0,103.0,10.0,104.0,11.0,105.0,200,1.0,50.0,9.0,12.0,80.0,13.0,73.0,1.0,320.0,1.0,15.0,80,17.0,45.0,4.0,-1.0,-1.0,1200.0,440
sample_523,5.0,23.0,-1.0,-1.0,6.5,100,7.5,101.0,8.5,103.0,9.5,105.0,300,0.5,50.0,10.0,11.0,70.0,11.5,78.0,1.0,350.0,1.5,19.0,65,22.0,45.0,1.5,1.5,-1.0,800.0,420
sample_319,21.0,37.0,0.8333333333333334,80.0,22.833333333333332,100,23.833333333333332,102.0,0.8333333333333334,102.0,1.8333333333333333,104.0,300,0.5,50.0,9.0,5.0,70.0,5.5,75.0,0.5,300.0,1.5,16.0,65,20.5,28.0,1.5,1.3333333333333333,-1.0,800.0,400
sample_1923,14.0,29.0,-1.0,-1.0,16.0,103,17.0,103.0,18.0,104.0,19.0,105.0,200,1.0,50.0,9.0,20.0,80.0,21.0,73.0,1.0,320.0,1.0,23.0,80,1.0,45.0,4.0,-1.0,-1.0,1200.0,460
sample_1296,21.0,30.0,-1.0,-1.0,23.0,103,0.0,103.0,1.0,104.0,2.0,105.0,200,1.0,50.0,9.0,3.0,80.0,4.0,73.0,1.0,320.0,1.0,6.0,80,8.0,45.0,3.0,-1.0,-1.0,1200.0,440
sample_1152,18.0,29.0,-1.0,-1.0,20.0,102,21.0,103.0,22.0,104.0,23.0,105.0,200,1.0,50.0,9.0,0.0,78.0,1.0,73.0,1.0,320.0,1.0,3.0,80,5.0,45.0,1.5,1.5,1.0,1200.0,400
sample_982,22.0,21.0,-1.0,-1.0,23.5,100,0.5,102.0,1.5,104.0,2.5,105.0,200,0.3333333333333333,30.0,9.0,3.5,70.0,4.0,78.0,0.5,300.0,1.0,8.5,67,13.333333333333334,45.0,1.5,1.5,-1.0,900.0,400
sample_304,17.0,21.0,-1.0,-1.0,18.5,100,19.5,102.0,20.5,103.0,21.5,104.0,300,0.5,30.0,9.0,7.0,70.0,7.5,78.0,1.0,320.0,1.0,17.5,60,21.0,40.0,1.5,1.5,-1.0,800.0,400
sample_502,11.0,24.0,-1.0,-1.0,12.5,100,13.5,101.0,14.5,103.0,15.5,103.0,300,0.5,50.0,10.0,17.0,70.0,17.5,78.0,1.0,340.0,1.5,8.0,65,10.5,45.0,1.5,1.5,-1.0,800.0,440
sample_1951,21.0,29.0,-1.0,-1.0,23.0,102,0.0,104.0,1.0,105.0,2.0,106.0,200,1.0,50.0,9.0,3.0,80.0,4.0,73.0,1.0,320.0,1.0,6.0,80,8.0,45.0,4.0,-1.0,-1.0,1200.0,440
sample_386,7.5,41.0,7.666666666666667,80.0,9.0,100,10.0,103.0,11.0,102.0,12.0,102.0,300,0.5,50.0,9.0,15.5,70.0,16.0,75.0,0.5,370.0,1.5,1.5,40,4.5,20.0,1.5,1.5,-1.0,800.0,440
sample_362,2.0,36.0,2.1666666666666665,80.0,3.5,100,4.5,102.0,5.5,102.0,6.5,102.0,300,0.5,50.0,9.0,7.0,70.0,7.5,75.0,0.5,370.0,2.0,13.5,65,17.0,45.0,1.5,1.5,-1.0,800.0,420
sample_522,22.0,29.0,-1.0,-1.0,23.5,100,0.5,101.0,1.5,103.0,2.5,105.0,300,1.0,50.0,9.0,4.5,70.0,5.0,78.0,1.0,350.0,1.5,11.0,65,14.0,50.0,1.5,1.5,-1.0,800.0,420
